Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0.99,DC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.474867843383209
allsubs,0.99,DC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.816510802966785
allsubs,0.99,DC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.678604365201353
allsubs,0.99,DC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.229607250755287
allsubs,0.99,DC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.315755208333333
allsubs,0.99,DC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.412256267409471
allsubs,0.99,DC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.650203236444513
allsubs,0.99,DC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.0816591056383668
allsubs,0.99,DC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.422731804586241
allsubs,0.99,DC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.0565015479876161
allsubs,0.99,DC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.0520446096654275
allsubs,0.99,DC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.0335932813437313
allsubs,0.99,DC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.540727902946274
allsubs,0.99,DC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.212830957230143
allsubs,0.99,DC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.285334514842712
allsubs,0.99,cDC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.474867843383209
allsubs,0.99,cDC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.816510802966785
allsubs,0.99,cDC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.678604365201353
allsubs,0.99,cDC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.229607250755287
allsubs,0.99,cDC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.315755208333333
allsubs,0.99,cDC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.412256267409471
allsubs,0.99,cDC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.650203236444513
allsubs,0.99,cDC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.0816591056383668
allsubs,0.99,cDC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.422731804586241
allsubs,0.99,cDC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.0565015479876161
allsubs,0.99,cDC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.0520446096654275
allsubs,0.99,cDC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.0335932813437313
allsubs,0.99,cDC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.540727902946274
allsubs,0.99,cDC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.212830957230143
allsubs,0.99,cDC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.285334514842712
allsubs,0.99,TP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,2650.0
allsubs,0.99,TP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,5064.0
allsubs,0.99,TP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,4415.0
allsubs,0.99,TP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,950.0
allsubs,0.99,TP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,485.0
allsubs,0.99,TP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,444.0
allsubs,0.99,TP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,4239.0
allsubs,0.99,TP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,126.0
allsubs,0.99,TP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,636.0
allsubs,0.99,TP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,146.0
allsubs,0.99,TP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,14.0
allsubs,0.99,TP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,56.0
allsubs,0.99,TP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,780.0
allsubs,0.99,TP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,209.0
allsubs,0.99,TP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,322.0
allsubs,0.99,TN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,50901.0
allsubs,0.99,TN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,52072.0
allsubs,0.99,TN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,50815.0
allsubs,0.99,TN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,52087.0
allsubs,0.99,TN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,56825.0
allsubs,0.99,TN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,57702.0
allsubs,0.99,TN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,50612.0
allsubs,0.99,TN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,56452.0
allsubs,0.99,TN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,57039.0
allsubs,0.99,TN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,54390.0
allsubs,0.99,TN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,58888.0
allsubs,0.99,TN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,56134.0
allsubs,0.99,TN_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,57307.0
allsubs,0.99,TN_cort,PON,1,1,PFM3T7T01,PFM3T7T01,57657.0
allsubs,0.99,TN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,57477.0
allsubs,0.99,FP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,185.0
allsubs,0.99,FP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,128.0
allsubs,0.99,FP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,1202.0
allsubs,0.99,FP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,15.0
allsubs,0.99,FP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,69.0
allsubs,0.99,FP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,89.0
allsubs,0.99,FP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,3263.0
allsubs,0.99,FP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.0
allsubs,0.99,FP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,150.0
allsubs,0.99,FP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,8.0
allsubs,0.99,FP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,16.0
allsubs,0.99,FP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.0
allsubs,0.99,FP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,231.0
allsubs,0.99,FP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,13.0
allsubs,0.99,FP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,41.0
allsubs,0.99,FN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,5676.0
allsubs,0.99,FN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,2148.0
allsubs,0.99,FN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,2980.0
allsubs,0.99,FN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,6360.0
allsubs,0.99,FN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,2033.0
allsubs,0.99,FN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,1177.0
allsubs,0.99,FN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,1298.0
allsubs,0.99,FN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,2834.0
allsubs,0.99,FN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,1587.0
allsubs,0.99,FN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,4868.0
allsubs,0.99,FN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,494.0
allsubs,0.99,FN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,3222.0
