Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0,TN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,57326.0
allsubs,0,FP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,1143.0
allsubs,0,FP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,770.0
allsubs,0,FP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,3131.0
allsubs,0,FP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,1814.0
allsubs,0,FP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,770.0
allsubs,0,FP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,1144.0
allsubs,0,FP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,8935.0
allsubs,0,FP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,74.0
allsubs,0,FP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,2238.0
allsubs,0,FP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,136.0
allsubs,0,FP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,537.0
allsubs,0,FP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,610.0
allsubs,0,FP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,2395.0
allsubs,0,FP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,526.0
allsubs,0,FP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,192.0
allsubs,0,FN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,3287.0
allsubs,0,FN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,859.0
allsubs,0,FN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,1403.0
allsubs,0,FN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,4636.0
allsubs,0,FN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,1037.0
allsubs,0,FN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,627.0
allsubs,0,FN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,399.0
allsubs,0,FN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,2135.0
allsubs,0,FN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,1022.0
allsubs,0,FN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,3933.0
allsubs,0,FN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,313.0
allsubs,0,FN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,2169.0
allsubs,0,FN_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,702.0
allsubs,0,FN_cort,PON,1,1,PFM3T7T01,PFM3T7T01,824.0
allsubs,0,FN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,1069.0
allsubs,0,TPR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.605212587076627
allsubs,0,TPR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.880892956184138
allsubs,0,TPR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.810277214334009
allsubs,0,TPR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.365800273597811
allsubs,0,TPR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.588165210484512
allsubs,0,TPR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.613201727328809
allsubs,0,TPR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.927939317319848
allsubs,0,TPR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.278716216216216
allsubs,0,TPR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.540260908681961
allsubs,0,TPR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.215596330275229
allsubs,0,TPR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.383858267716535
allsubs,0,TPR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.338316046369738
allsubs,0,TPR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.625400213447172
allsubs,0,TPR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.526980482204363
allsubs,0,TPR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.43558606124604
allsubs,0,TNR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.977625964060604
allsubs,0,TNR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.985249042145594
allsubs,0,TNR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.939808139646654
allsubs,0,TNR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.965183678169744
allsubs,0,TNR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.98646605968995
allsubs,0,TNR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.980204530117146
allsubs,0,TNR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.83415313225058
allsubs,0,TNR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.998689151845816
allsubs,0,TNR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.960866600220322
allsubs,0,TNR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.997499908084856
allsubs,0,TNR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.99088347141111
allsubs,0,TNR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.989133145687106
allsubs,0,TNR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.958375334561507
allsubs,0,TNR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.990879139934108
allsubs,0,TNR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.996661914531103
allsubs,0,FPR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.0223740359393963
allsubs,0,FPR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.0147509578544061
allsubs,0,FPR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.060191860353346
allsubs,0,FPR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.034816321830256
allsubs,0,FPR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.0135339403100503
allsubs,0,FPR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.0197954698828537
allsubs,0,FPR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.16584686774942
allsubs,0,FPR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.001310848154184
allsubs,0,FPR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.0391333997796779
allsubs,0,FPR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.0025000919151439
allsubs,0,FPR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.0091165285888904
allsubs,0,FPR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.0108668543128941
allsubs,0,FPR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.0416246654384928
allsubs,0,FPR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.0091208600658921
allsubs,0,FPR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.0033380854688966
allsubs,0,FNR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.394787412923373
allsubs,0,FNR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.119107043815862
