Subject,Threshold,Metric,Network,ExpMin,RefMin,Value
PFM3T7T01,0.0,DC_cort,MTL,50,70,0.675994752951465
PFM3T7T01,0.0,DC_cort,MTL,55,70,0.673200702165009
PFM3T7T01,0.0,DC_cort,MTL,60,70,0.684976247030879
PFM3T7T01,0.0,DC_cort,MTL,65,70,0.703214784904488
PFM3T7T01,0.0,DC_cort,MTL,70,70,0.725471990095946
PFM3T7T01,0.0,DC_cort,PMN,10,70,0.574126534466478
PFM3T7T01,0.0,DC_cort,PMN,15,70,0.627492130115425
PFM3T7T01,0.0,DC_cort,PMN,20,70,0.647455867082035
PFM3T7T01,0.0,DC_cort,PMN,25,70,0.675792141951838
PFM3T7T01,0.0,DC_cort,PMN,30,70,0.683360258481422
PFM3T7T01,0.0,DC_cort,PMN,35,70,0.694288250961823
PFM3T7T01,0.0,DC_cort,PMN,40,70,0.7259767687434
PFM3T7T01,0.0,DC_cort,PMN,45,70,0.740048089767566
PFM3T7T01,0.0,DC_cort,PMN,5,70,0.455016991593633
PFM3T7T01,0.0,DC_cort,PMN,50,70,0.743213897937025
PFM3T7T01,0.0,DC_cort,PMN,55,70,0.744432661717922
PFM3T7T01,0.0,DC_cort,PMN,60,70,0.734998712335823
PFM3T7T01,0.0,DC_cort,PMN,65,70,0.721818607921256
PFM3T7T01,0.0,DC_cort,PMN,70,70,0.715553479682391
PFM3T7T01,0.0,DC_cort,PON,10,70,0.599861782999309
PFM3T7T01,0.0,DC_cort,PON,15,70,0.6283378746594
PFM3T7T01,0.0,DC_cort,PON,20,70,0.67359781121751
PFM3T7T01,0.0,DC_cort,PON,25,70,0.701516793066089
PFM3T7T01,0.0,DC_cort,PON,30,70,0.700676437429538
PFM3T7T01,0.0,DC_cort,PON,35,70,0.729822552947911
PFM3T7T01,0.0,DC_cort,PON,40,70,0.727934995797142
PFM3T7T01,0.0,DC_cort,PON,45,70,0.726009088479016
PFM3T7T01,0.0,DC_cort,PON,5,70,0.58043758043758
PFM3T7T01,0.0,DC_cort,PON,50,70,0.735237039090657
PFM3T7T01,0.0,DC_cort,PON,55,70,0.741736694677871
PFM3T7T01,0.0,DC_cort,PON,60,70,0.761241970021413
PFM3T7T01,0.0,DC_cort,PON,65,70,0.750207468879668
PFM3T7T01,0.0,DC_cort,PON,70,70,0.743001119820829
PFM3T7T01,0.0,DC_cort,SCAN,10,70,0.620445702157764
PFM3T7T01,0.0,DC_cort,SCAN,15,70,0.678724708767627
PFM3T7T01,0.0,DC_cort,SCAN,20,70,0.68242665907149
PFM3T7T01,0.0,DC_cort,SCAN,25,70,0.688446215139442
