Metric,Network,ExpMin,N_Thr0,N_Thr099,N_paired,Mean_Thr0,SD_Thr0,Mean_Thr099,SD_Thr099,Mean_diff,SD_diff,t,df,p_t,W,p_w,Hedges_g,CI_low,CI_high
PPV_cort,Sal,5,4,2,2,0.7493969888559863,0.2139706133034599,0.8753710784430144,0.05989256739026338,0.2725306437808575,0.13889957686370297,2.7747855054688504,1,0.22020627906766577,0.0,0.5,1.1211826555743805,0.17431381107659105,0.37074747648512396
PPV_cort,Sal,25,4,4,4,0.7472375747276307,0.1803311996095204,0.8865714494376553,0.10897382781872543,0.13933387471002454,0.07459639571201451,3.735673108066357,3,0.03344394642568227,0.0,0.125,1.4942692432265428,0.07792456749191701,0.20074318192813206
PPV_cort,Sal,70,4,4,4,0.7719643636321363,0.19598597344863505,0.8808521500519481,0.13188285963688218,0.10888778641981173,0.0658061128289268,3.309351722472422,3,0.045414185307463224,0.0,0.125,1.323740688988969,0.05485912429265649,0.16291644854696696
TPR_cort,Sal,5,4,2,2,0.373306009956819,0.17103099747283126,0.1780472511853824,0.1350859856086045,-0.3287601289236156,0.008345593360249216,-55.71048252912008,1,0.011426061732420863,0.0,0.5,-22.510434274008848,-0.33466135458167323,-0.32285890326555794
TPR_cort,Sal,25,4,4,4,0.5883565262586146,0.16033485605234732,0.35686383026233426,0.16021172437759357,-0.23149269599628028,0.03920504621093565,-11.809331622810786,3,0.0013052573049266852,0.0,0.125,-4.723732649124314,-0.263631505138674,-0.1993538868538865
TPR_cort,Sal,70,4,4,4,0.6553612057314898,0.19313121267780048,0.4996937418861092,0.22010236841334666,-0.15566746384538055,0.04254796878602201,-7.317268874960767,3,0.005271906818764443,0.0,0.125,-2.926907549984307,-0.1889613706346775,-0.11676458938473708
