Metric,Network,ExpMin,N_Thr0,N_Thr099,N_paired,Mean_Thr0,SD_Thr0,Mean_Thr099,SD_Thr099,Mean_diff,SD_diff,t,df,p_t,W,p_w,Hedges_g,CI_low,CI_high
PPV_cort,DMN,5,4,4,4,0.7684918749739991,0.03997874767969296,0.9074000185868445,0.027463334015744526,0.1389081436128455,0.020649445947374435,13.453934208874752,3,0.0008878755900786633,0.0,0.125,5.3815736835499015,0.1217262610409115,0.15609002618477952
PPV_cort,DMN,25,4,4,4,0.8157271947947937,0.08346255021360689,0.9093530924112477,0.06413511146152219,0.09362589761645398,0.028717911168379347,6.5203835381692645,3,0.007329046556684381,0.0,0.125,2.608153415267706,0.07477786307725678,0.12130429567440221
PPV_cort,DMN,70,4,4,4,0.8832332176073645,0.05321028657064637,0.9392494118437729,0.044967425522669524,0.056016194236408245,0.010724699490984943,10.446203044382699,3,0.0018726228725746525,0.0,0.125,4.17848121775308,0.047186207386337,0.06484618108647949
TPR_cort,DMN,5,4,4,4,0.7616105211524893,0.12184657517273892,0.5166881676191333,0.17673868895655528,-0.24492235353335595,0.07215085557708023,-6.789173921068764,3,0.006532795492868582,0.0,0.125,-2.715669568427506,-0.30574395988120995,-0.18410074718550196
TPR_cort,DMN,25,4,4,4,0.8604018904800956,0.09584226282089205,0.741366145979568,0.1314955022296545,-0.11903574450052773,0.042117130468415906,-5.652604684917646,3,0.010960639506994064,0.0,0.125,-2.2610418739670584,-0.1436466316598925,-0.07752801402744622
TPR_cort,DMN,70,4,4,4,0.8827946858797845,0.07055039360534067,0.7955388881651936,0.09335216593500248,-0.087255797714591,0.03135982353884742,-5.564814330444282,3,0.01144990060140841,0.0,0.125,-2.225925732177712,-0.11344871474104451,-0.06106288068813748
