Metric,Network,ExpMin,N,Mean_Thr0,SD_Thr0,Mean_Thr099,SD_Thr099,Mean_diff,SD_diff,t,df,p_t,W,p_w,Hedges_g,CI_low,CI_high
PPV_cort,All15Networks_mean,5,4,0.6728224043385322,0.04168105405101184,0.8626594819532687,0.02921742099347438,0.18983707761473648,0.04821557861010541,7.874512059674791,3,0.004267205865650603,0.0,0.125,3.1498048238699163,0.14264576157581085,0.21763431574458797
PPV_cort,All15Networks_mean,25,4,0.7115483756458219,0.03535549862337895,0.8536607238523056,0.02273945256848984,0.14211234820648372,0.012624247162086254,22.51418977810928,3,0.0001918783285911377,0.0,0.125,9.005675911243712,0.12956059199995293,0.14892502637952432
PPV_cort,All15Networks_mean,70,4,0.7472817400972978,0.02589301027977371,0.851318514401513,0.021215195724058816,0.10403677430421526,0.014699895727431219,14.154763575645516,3,0.0007638605510276771,0.0,0.125,5.661905430258206,0.09171376304849538,0.11635978555993515
TPR_cort,All15Networks_mean,5,4,0.5676104963009735,0.019641763945900153,0.33928804292056713,0.05339535002689498,-0.22832245338040633,0.0461347673589383,-9.898064581273774,3,0.002193246828150057,0.0,0.125,-3.9592258325095098,-0.260764797351976,-0.18301694418381542
TPR_cort,All15Networks_mean,25,4,0.6784726962041825,0.019266944143126963,0.5189187362499293,0.02597381455636585,-0.15955395995425317,0.0285377864489605,-11.181943647914922,3,0.0015330419139289928,0.0,0.125,-4.472777459165968,-0.18511253174365228,-0.1360381778041229
TPR_cort,All15Networks_mean,70,4,0.7418850594070282,0.03208046472800497,0.6219833651467757,0.03452841788525581,-0.11990169426025254,0.009941061909288586,-24.12251233406373,3,0.00015614310222118017,0.0,0.125,-9.649004933625493,-0.12761019936997464,-0.1101102140472986
