Metric,Network,ExpMin,N_Thr0,N_Thr099,N_paired,Mean_Thr0,SD_Thr0,Mean_Thr099,SD_Thr099,Mean_diff,SD_diff,t,df,p_t,W,p_w,Hedges_g,CI_low,CI_high
PPV_cort,AMN,5,4,4,4,0.47252812490394025,0.1377407177401657,0.6570484473787163,0.13714769999730872,0.184520322474776,0.023736429806262838,15.547436912866354,3,0.0005781810986709488,0.0,0.125,6.218974765146542,0.16384309523266305,0.20684712255050253
PPV_cort,AMN,25,4,4,4,0.6154554148948368,0.150208781628286,0.7431614127174158,0.13932784558211622,0.12770599782257896,0.029010485209611244,8.80412698373412,3,0.0030874541756915554,0.0,0.125,3.5216507934936483,0.103769393871986,0.15164260177317196
PPV_cort,AMN,70,4,4,4,0.7081975370013053,0.1302264242455308,0.7892880937777034,0.12314042992678037,0.08109055677639801,0.01627598377055891,9.964443061571497,3,0.0021507269239082766,0.0,0.125,3.985777224628599,0.06973348032728405,0.09595661886978002
FPR_cort,AMN,5,4,4,4,0.13817411451001932,0.04654438643335146,0.05263991512626835,0.024822597620693325,-0.08553419938375098,0.026496825506189908,-6.4561846749354475,3,0.007537898476191347,0.0,0.125,-2.582473869974179,-0.10964839039806548,-0.06187077960511786
FPR_cort,AMN,25,4,4,4,0.0755213377648472,0.032261632585586016,0.037252762180288376,0.022094065768365926,-0.03826857558455883,0.01305381973596214,-5.863199639433081,3,0.009893698119655691,0.0,0.125,-2.345279855773233,-0.049324696632826306,-0.025666876825392825
FPR_cort,AMN,70,4,4,4,0.04819256620140219,0.020132639198656946,0.028691359425493876,0.01628462597129736,-0.019501206775908324,0.005315227866289909,-7.337862935129587,3,0.005229515763009612,0.0,0.125,-2.935145174051835,-0.024539221524664076,-0.01541639621276335
TNR_cort,AMN,5,4,4,4,0.8618258854899808,0.046544386433351584,0.9473600848737317,0.02482259762069341,0.08553419938375101,0.026496825506190123,6.456184674935397,3,0.007537898476191517,0.0,0.125,2.5824738699741587,0.061870779605117776,0.10964839039806579
TNR_cort,AMN,25,4,4,4,0.9244786622351527,0.03226163258558595,0.9627472378197117,0.02209406576836583,0.03826857558455904,0.01305381973596236,5.863199639433015,3,0.009893698119656007,0.0,0.125,2.345279855773206,0.025666876825392815,0.04932469663282679
TNR_cort,AMN,70,4,4,4,0.9518074337985978,0.020132639198656994,0.9713086405745059,0.016284625971297602,0.01950120677590822,0.005315227866289814,7.33786293512968,3,0.005229515763009419,0.0,0.125,2.935145174051872,0.015416396212763195,0.02453922152466398
FNR_cort,AMN,5,4,4,4,0.10497871793816835,0.07928035165794703,0.26077629662144675,0.12112851747989072,0.1557975786832784,0.052565033217489794,5.927802919429731,3,0.00959385831398868,0.0,0.125,2.3711211677718924,0.10416589127255607,0.1853432588324885
FNR_cort,AMN,25,4,4,4,0.11234682165516241,0.09041588455104795,0.20272440828484678,0.12913735686219036,0.09037758662968437,0.0421711227069433,4.2862309954486495,3,0.0233386082347979,0.0,0.125,1.71449239817946,0.05613374392397932,0.12300248396126451
FNR_cort,AMN,70,4,4,4,0.10862374708683672,0.07307015253608608,0.17471536442518137,0.09360649165985246,0.06609161733834466,0.02207995978896116,5.986570443972191,3,0.009331372101093865,0.0,0.125,2.3946281775888765,0.04614158801911214,0.0828059245700391
TPR_cort,AMN,5,4,4,4,0.8950212820618317,0.07928035165794711,0.7392237033785533,0.12112851747989074,-0.15579757868327848,0.052565033217489905,-5.9278029194297215,3,0.00959385831398872,0.0,0.125,-2.371121167771889,-0.18534325883248848,-0.10416589127255596
TPR_cort,AMN,25,4,4,4,0.8876531783448375,0.09041588455104785,0.7972755917151533,0.1291373568621904,-0.09037758662968423,0.0421711227069434,-4.2862309954486335,3,0.02333860823479813,0.0,0.125,-1.7144923981794535,-0.12300248396126451,-0.05613374392397924
TPR_cort,AMN,70,4,4,4,0.8913762529131632,0.07307015253608608,0.8252846355748186,0.09360649165985234,-0.06609161733834479,0.022079959788960844,-5.986570443972288,3,0.009331372101093444,0.0,0.125,-2.394628177588915,-0.08280592457003905,-0.04614158801911278
