condition,N,Mean_within,SD_within,Mean_between,SD_between,Mean_diff,SD_diff,t,p,Hedges_g
TM_5min,4,0.4188236645562893,0.0446602065894774,0.3218409202702728,0.0137815507747722,0.0969827442860164,0.0328834790853048,5.898569554299779,0.0097280401491323,2.3594278217199114
PCM_5min_thr0.99,4,0.835054259234351,0.041333545659294285,0.6493390921441882,0.010371062376215896,0.18571516709016278,0.047574381062822996,7.807360303644177,0.0043740669162462865,3.122944121457671
TM_70min,4,0.6620492947723811,0.0256085472751425,0.4495823974479183,0.0099521769011461,0.2124668973244627,0.0160446214639546,26.4845010898867,0.0001181057044684,10.59380043595468
PCM_70min_thr0.99,4,0.8800658848562992,0.016480480403080696,0.5929266658252321,0.016193740989981702,0.28713921903106715,0.007692006389468652,74.65912129875446,5.2959234894777735e-06,29.86364851950178
